Location,Date,Source
KOTA JAKARTA TIMUR,2016-02-25,BNPB
KOTA JAKARTA BARAT,2016-02-14,BNPB
KOTA JAKARTA TIMUR,2016-02-12,BNPB
KOTA JAKARTA SELATAN,2016-01-20,BNPB
KOTA JAKARTA SELATAN,2016-01-12,BNPB
KOTA JAKARTA SELATAN,2015-11-16,BNPB
KOTA JAKARTA SELATAN,2015-11-16,BNPB
KOTA JAKARTA TIMUR,2015-03-23,BNPB
KOTA JAKARTA TIMUR,2015-02-09,BNPB
KOTA JAKARTA PUSAT,2015-02-09,BNPB
KOTA JAKARTA UTARA,2015-02-09,BNPB
KOTA JAKARTA SELATAN,2015-02-09,BNPB
KOTA JAKARTA BARAT,2015-02-09,BNPB
KOTA JAKARTA UTARA,2015-01-23,BNPB
KOTA JAKARTA TIMUR,2015-01-23,BNPB
KOTA JAKARTA BARAT,2015-01-23,BNPB
KOTA JAKARTA SELATAN,2014-12-23,BNPB
KOTA JAKARTA TIMUR,2014-11-20,BNPB
KOTA JAKARTA SELATAN,2014-11-20,BNPB
KOTA JAKARTA TIMUR,2014-11-14,BNPB
KOTA JAKARTA TIMUR,2014-11-12,BNPB
KOTA JAKARTA TIMUR,2014-11-11,BNPB
KOTA JAKARTA TIMUR,2014-08-05,BNPB
KOTA JAKARTA TIMUR,2014-07-28,BNPB
KOTA JAKARTA BARAT,2014-07-07,BNPB
KOTA JAKARTA TIMUR,2014-06-13,BNPB
KOTA JAKARTA TIMUR,2014-05-23,BNPB
KOTA JAKARTA TIMUR,2014-05-16,BNPB
KOTA JAKARTA TIMUR,2014-04-06,BNPB
KOTA JAKARTA TIMUR,2014-03-29,BNPB
KOTA JAKARTA SELATAN,2014-02-25,BNPB
KOTA JAKARTA BARAT,2014-02-25,BNPB
KOTA JAKARTA TIMUR,2014-02-25,BNPB
KOTA JAKARTA BARAT,2014-02-23,BNPB
KOTA JAKARTA SELATAN,2014-02-23,BNPB
KOTA JAKARTA TIMUR,2014-02-23,BNPB
KOTA JAKARTA UTARA,2014-01-12,BNPB
KOTA JAKARTA TIMUR,2014-01-12,BNPB
KOTA JAKARTA SELATAN,2014-01-12,BNPB
KOTA JAKARTA PUSAT,2014-01-12,BNPB
KOTA JAKARTA BARAT,2014-01-12,BNPB
KOTA JAKARTA UTARA,2013-12-13,BNPB
KOTA JAKARTA TIMUR,2013-11-17,BNPB
KOTA JAKARTA TIMUR,2013-11-13,BNPB
KOTA JAKARTA SELATAN,2013-11-13,BNPB
KOTA JAKARTA SELATAN,2013-11-08,BNPB
KOTA JAKARTA TIMUR,2013-11-08,BNPB
KOTA JAKARTA TIMUR,2013-10-27,BNPB
KOTA JAKARTA TIMUR,2013-10-20,BNPB
KOTA JAKARTA UTARA,2013-10-18,BNPB
KOTA JAKARTA SELATAN,2013-08-09,BNPB
KOTA JAKARTA TIMUR,2013-08-09,BNPB
KOTA JAKARTA SELATAN,2013-08-08,BNPB
KOTA JAKARTA TIMUR,2013-08-03,BNPB
KOTA JAKARTA UTARA,2013-07-23,BNPB
KOTA JAKARTA TIMUR,2013-07-23,BNPB
KOTA JAKARTA SELATAN,2013-07-23,BNPB
KOTA JAKARTA UTARA,2013-07-22,BNPB
KOTA JAKARTA SELATAN,2013-07-22,BNPB
KOTA JAKARTA TIMUR,2013-07-22,BNPB
KOTA JAKARTA SELATAN,2013-07-20,BNPB
KOTA JAKARTA SELATAN,2013-07-13,BNPB
KOTA JAKARTA SELATAN,2013-07-11,BNPB
KOTA JAKARTA TIMUR,2013-05-11,BNPB
KOTA JAKARTA SELATAN,2013-05-11,BNPB
KOTA JAKARTA TIMUR,2013-05-01,BNPB
KOTA JAKARTA BARAT,2013-04-17,BNPB
KOTA JAKARTA TIMUR,2013-04-17,BNPB
KOTA JAKARTA TIMUR,2013-03-05,BNPB
