,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,22.2,-6.235,106.773,2017-01-01T00:00:00+0000,0.0,1011.1,80.4,25.8,188.7,6.4
1,22.0,-6.235,106.773,2017-01-01T01:00:00+0000,0.0,1010.8,68.3,28.4,202.6,6.3
2,21.4,-6.235,106.773,2017-01-01T02:00:00+0000,0.0,1011.1,56.0,31.3,244.2,5.0
3,21.2,-6.235,106.773,2017-01-01T03:00:00+0000,0.0,1010.8,51.9,32.4,287.5,7.1
4,21.4,-6.235,106.773,2017-01-01T04:00:00+0000,0.029,1009.9,50.9,32.9,296.4,9.1
5,21.6,-6.235,106.773,2017-01-01T05:00:00+0000,0.349,1009.0,51.1,33.1,298.7,10.2
6,22.1,-6.235,106.773,2017-01-01T06:00:00+0000,0.853,1008.1,52.2,33.2,299.6,10.8
7,22.4,-6.235,106.773,2017-01-01T07:00:00+0000,1.462,1007.8,55.4,32.6,302.0,8.6
8,22.9,-6.235,106.773,2017-01-01T08:00:00+0000,1.958,1007.5,59.9,31.6,298.6,10.9
9,23.4,-6.235,106.773,2017-01-01T09:00:00+0000,2.39,1007.1,64.5,30.9,287.5,12.1
10,23.6,-6.235,106.773,2017-01-01T10:00:00+0000,1.03,1007.3,68.2,30.1,279.9,10.7
11,23.6,-6.235,106.773,2017-01-01T11:00:00+0000,0.486,1007.7,75.1,28.4,276.9,8.7
12,23.4,-6.235,106.773,2017-01-01T12:00:00+0000,0.083,1008.5,78.5,27.5,267.2,8.1
13,22.9,-6.235,106.773,2017-01-01T13:00:00+0000,0.0,1009.0,79.3,26.8,242.1,10.0
14,22.7,-6.235,106.773,2017-01-01T14:00:00+0000,0.0,1010.0,80.6,26.3,225.6,9.6
15,22.5,-6.235,106.773,2017-01-01T15:00:00+0000,0.0,1010.6,82.1,25.8,215.4,9.1
16,22.4,-6.235,106.773,2017-01-01T16:00:00+0000,0.0,1010.9,83.4,25.4,211.7,9.3
17,22.3,-6.235,106.773,2017-01-01T17:00:00+0000,0.0,1011.0,84.7,25.0,209.5,9.4
18,22.2,-6.235,106.773,2017-01-01T18:00:00+0000,0.0,1010.8,85.7,24.8,207.3,9.8
19,22.1,-6.235,106.773,2017-01-01T19:00:00+0000,0.0,1010.2,86.1,24.6,202.5,10.2
20,22.0,-6.235,106.773,2017-01-01T20:00:00+0000,0.0,1009.7,86.8,24.3,204.5,9.8
21,21.8,-6.235,106.773,2017-01-01T21:00:00+0000,0.0,1009.5,87.5,24.0,203.6,9.2
