,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,19.7,-6.235,106.773,2018-01-01T00:00:00+0000,0.0,1008.7,69.3,25.7,175.4,8.6
1,20.5,-6.235,106.773,2018-01-01T01:00:00+0000,0.0,1009.3,64.3,27.9,195.8,5.9
2,20.6,-6.235,106.773,2018-01-01T02:00:00+0000,0.0,1009.2,53.0,31.3,191.6,4.7
3,20.4,-6.235,106.773,2018-01-01T03:00:00+0000,0.0,1008.7,42.2,35.2,176.8,2.6
4,20.1,-6.235,106.773,2018-01-01T04:00:00+0000,0.0,1007.7,36.7,37.4,335.4,1.4
5,19.6,-6.235,106.773,2018-01-01T05:00:00+0000,0.0,1006.7,37.0,36.8,346.4,5.0
6,19.7,-6.235,106.773,2018-01-01T06:00:00+0000,0.0,1005.9,39.4,35.7,341.1,8.2
7,20.7,-6.235,106.773,2018-01-01T07:00:00+0000,0.0,1005.8,44.3,34.6,316.1,12.8
8,21.8,-6.235,106.773,2018-01-01T08:00:00+0000,1.001,1005.8,51.1,33.3,301.1,11.7
9,22.3,-6.235,106.773,2018-01-01T09:00:00+0000,1.915,1005.9,57.4,31.7,270.2,10.6
10,22.4,-6.235,106.773,2018-01-01T10:00:00+0000,0.094,1006.6,61.2,30.8,244.8,10.2
11,22.6,-6.235,106.773,2018-01-01T11:00:00+0000,0.0,1007.2,68.6,29.0,228.9,9.8
12,22.6,-6.235,106.773,2018-01-01T12:00:00+0000,0.472,1008.1,73.7,27.7,223.1,10.9
13,22.4,-6.235,106.773,2018-01-01T13:00:00+0000,0.0,1008.9,76.0,27.0,230.6,14.3
14,22.3,-6.235,106.773,2018-01-01T14:00:00+0000,0.0,1009.6,77.3,26.6,228.7,14.1
15,22.2,-6.235,106.773,2018-01-01T15:00:00+0000,0.0,1009.7,77.4,26.5,227.8,13.9
16,22.0,-6.235,106.773,2018-01-01T16:00:00+0000,0.0,1009.5,77.2,26.3,222.3,12.9
17,21.8,-6.235,106.773,2018-01-01T17:00:00+0000,0.0,1009.2,77.2,26.1,217.4,12.3
18,21.6,-6.235,106.773,2018-01-01T18:00:00+0000,0.0,1008.9,77.4,25.9,211.6,12.0
19,21.6,-6.235,106.773,2018-01-01T19:00:00+0000,0.0,1008.8,78.8,25.6,203.8,10.3
20,21.5,-6.235,106.773,2018-01-01T20:00:00+0000,0.0,1008.4,79.2,25.3,195.7,10.9
21,21.2,-6.235,106.773,2018-01-01T21:00:00+0000,0.0,1008.0,79.7,25.0,194.1,10.8
22,21.1,-6.235,106.773,2018-01-01T22:00:00+0000,0.0,1008.3,79.7,24.8,194.6,10.6
23,20.9,-6.235,106.773,2018-01-01T23:00:00+0000,0.0,1008.6,79.3,24.8,195.6,10.5
24,21.0,-6.235,106.773,2018-01-02T00:00:00+0000,0.0,1008.9,75.2,25.8,198.4,10.6
25,21.4,-6.235,106.773,2018-01-02T01:00:00+0000,0.0,1009.6,69.3,27.6,215.1,9.2
26,21.2,-6.235,106.773,2018-01-02T02:00:00+0000,0.0,1009.6,58.4,30.2,224.5,9.2
27,20.9,-6.235,106.773,2018-01-02T03:00:00+0000,0.0,1009.8,51.8,32.1,251.2,8.7
28,21.0,-6.235,106.773,2018-01-02T04:00:00+0000,0.346,1009.0,50.3,32.7,267.0,9.7
29,21.2,-6.235,106.773,2018-01-02T05:00:00+0000,0.68,1008.3,49.7,33.2,274.6,11.2
30,21.3,-6.235,106.773,2018-01-02T06:00:00+0000,0.421,1007.6,49.0,33.5,266.7,11.7
31,21.0,-6.235,106.773,2018-01-02T07:00:00+0000,0.23,1006.7,47.8,33.7,248.8,11.2
32,21.3,-6.235,106.773,2018-01-02T08:00:00+0000,0.396,1006.1,48.7,33.6,236.5,10.2
33,21.7,-6.235,106.773,2018-01-02T09:00:00+0000,1.652,1005.8,53.4,32.4,232.6,9.0
34,22.3,-6.235,106.773,2018-01-02T10:00:00+0000,1.969,1006.4,59.2,31.2,231.8,7.8
35,22.9,-6.235,106.773,2018-01-02T11:00:00+0000,2.106,1007.2,69.5,29.1,234.0,5.5
36,22.9,-6.235,106.773,2018-01-02T12:00:00+0000,1.919,1008.3,75.0,27.8,227.9,6.1
37,22.8,-6.235,106.773,2018-01-02T13:00:00+0000,2.095,1009.4,78.0,27.0,211.0,5.8
38,22.7,-6.235,106.773,2018-01-02T14:00:00+0000,0.338,1010.1,79.3,26.6,196.7,6.5
39,22.6,-6.235,106.773,2018-01-02T15:00:00+0000,0.0,1010.3,80.5,26.2,193.0,7.1
40,22.6,-6.235,106.773,2018-01-02T16:00:00+0000,0.004,1010.0,81.6,26.0,194.7,7.0
41,22.5,-6.235,106.773,2018-01-02T17:00:00+0000,0.0,1009.7,82.9,25.6,194.5,7.1
42,22.4,-6.235,106.773,2018-01-02T18:00:00+0000,0.011,1009.2,84.1,25.3,197.4,7.2
43,22.3,-6.235,106.773,2018-01-02T19:00:00+0000,0.0,1008.7,85.4,25.0,184.3,7.8
44,22.2,-6.235,106.773,2018-01-02T20:00:00+0000,0.0,1008.6,86.3,24.6,184.8,8.2
45,21.9,-6.235,106.773,2018-01-02T21:00:00+0000,0.0,1008.7,86.9,24.2,184.1,7.5
46,21.6,-6.235,106.773,2018-01-02T22:00:00+0000,0.0,1009.0,86.2,24.0,183.6,7.4
47,21.3,-6.235,106.773,2018-01-02T23:00:00+0000,0.0,1009.4,84.1,24.1,184.6,7.2
48,21.3,-6.235,106.773,2018-01-03T00:00:00+0000,0.0,1009.9,76.8,25.7,185.2,6.8
49,21.6,-6.235,106.773,2018-01-03T01:00:00+0000,0.0,1010.0,68.5,28.0,203.8,4.7
50,21.3,-6.235,106.773,2018-01-03T02:00:00+0000,0.0,1010.1,54.2,31.7,222.6,2.4
51,21.3,-6.235,106.773,2018-01-03T03:00:00+0000,0.0,1009.7,47.2,34.2,360.0,1.0
52,20.9,-6.235,106.773,2018-01-03T04:00:00+0000,0.0,1008.8,45.6,34.3,355.9,5.0
53,20.8,-6.235,106.773,2018-01-03T05:00:00+0000,0.0,1007.9,46.5,33.9,352.7,8.2
54,21.2,-6.235,106.773,2018-01-03T06:00:00+0000,0.0,1007.1,47.7,33.9,348.1,9.1
55,22.2,-6.235,106.773,2018-01-03T07:00:00+0000,0.95,1007.2,54.4,32.6,346.1,7.8
56,22.7,-6.235,106.773,2018-01-03T08:00:00+0000,1.31,1006.9,54.9,33.0,351.1,4.4
57,23.0,-6.235,106.773,2018-01-03T09:00:00+0000,1.94,1006.6,61.1,31.5,2.4,4.3
58,23.5,-6.235,106.773,2018-01-03T10:00:00+0000,2.812,1006.9,68.4,29.9,356.4,5.7
59,24.1,-6.235,106.773,2018-01-03T11:00:00+0000,2.401,1007.5,78.1,28.3,354.4,5.9
60,24.1,-6.235,106.773,2018-01-03T12:00:00+0000,1.84,1008.2,82.6,27.4,341.6,5.4
61,24.6,-6.235,106.773,2018-01-03T13:00:00+0000,1.649,1009.0,85.4,27.3,230.5,0.8
62,24.3,-6.235,106.773,2018-01-03T14:00:00+0000,0.468,1009.5,85.3,27.0,225.0,1.6
63,24.1,-6.235,106.773,2018-01-03T15:00:00+0000,1.145,1010.3,85.7,26.7,234.5,2.8
64,24.0,-6.235,106.773,2018-01-03T16:00:00+0000,1.274,1010.6,85.9,26.5,227.7,3.2
65,23.8,-6.235,106.773,2018-01-03T17:00:00+0000,0.81,1010.6,85.7,26.4,216.3,3.5
66,23.6,-6.235,106.773,2018-01-03T18:00:00+0000,0.097,1010.3,85.3,26.3,202.6,4.2
67,23.5,-6.235,106.773,2018-01-03T19:00:00+0000,0.072,1010.0,85.6,26.1,173.8,4.0
68,23.2,-6.235,106.773,2018-01-03T20:00:00+0000,0.007,1009.3,86.0,25.7,176.4,6.2
69,23.0,-6.235,106.773,2018-01-03T21:00:00+0000,0.0,1009.0,86.2,25.5,177.9,7.0
70,22.8,-6.235,106.773,2018-01-03T22:00:00+0000,0.0,1009.4,86.1,25.3,179.0,7.9
71,22.7,-6.235,106.773,2018-01-03T23:00:00+0000,0.0,1010.0,85.9,25.3,177.3,8.5
72,22.8,-6.235,106.773,2018-01-04T00:00:00+0000,0.014,1010.6,82.4,26.1,175.6,9.9
73,22.7,-6.235,106.773,2018-01-04T01:00:00+0000,0.061,1011.0,81.1,26.3,187.8,9.2
74,22.6,-6.235,106.773,2018-01-04T02:00:00+0000,0.097,1010.8,79.0,26.6,188.6,9.1
75,22.6,-6.235,106.773,2018-01-04T03:00:00+0000,0.22,1010.8,76.2,27.2,200.6,8.9
76,22.7,-6.235,106.773,2018-01-04T04:00:00+0000,0.155,1010.6,72.9,28.0,214.9,9.3
77,22.7,-6.235,106.773,2018-01-04T05:00:00+0000,0.079,1010.1,70.4,28.6,228.7,10.4
78,22.7,-6.235,106.773,2018-01-04T06:00:00+0000,0.0,1009.4,66.8,29.5,238.5,12.1
79,22.9,-6.235,106.773,2018-01-04T07:00:00+0000,0.0,1008.6,66.6,29.8,243.3,15.4
80,22.7,-6.235,106.773,2018-01-04T08:00:00+0000,0.0,1008.0,64.3,30.2,243.0,14.3
81,22.6,-6.235,106.773,2018-01-04T09:00:00+0000,0.0,1007.5,64.7,30.0,241.5,14.3
82,22.8,-6.235,106.773,2018-01-04T10:00:00+0000,0.0,1007.8,68.5,29.2,238.0,13.3
83,22.9,-6.235,106.773,2018-01-04T11:00:00+0000,0.0,1008.4,75.2,27.7,236.9,11.3
84,22.7,-6.235,106.773,2018-01-04T12:00:00+0000,0.0,1009.1,78.0,26.9,227.6,11.2
