,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,22.3,-6.235,106.773,2015-01-01T00:00:00+0000,0.004,1011.6,83.8,25.2,237.2,9.2
1,22.0,-6.235,106.773,2015-01-01T01:00:00+0000,0.0,1012.1,79.7,25.8,239.1,12.0
2,22.3,-6.235,106.773,2015-01-01T02:00:00+0000,0.0,1012.0,76.4,26.8,245.2,11.8
3,22.5,-6.235,106.773,2015-01-01T03:00:00+0000,0.0,1011.5,70.6,28.4,259.4,13.3
4,22.6,-6.235,106.773,2015-01-01T04:00:00+0000,0.144,1010.9,65.0,29.9,267.7,16.1
5,22.8,-6.235,106.773,2015-01-01T05:00:00+0000,0.414,1010.0,62.7,30.7,272.1,18.7
6,22.9,-6.235,106.773,2015-01-01T06:00:00+0000,0.565,1009.3,63.3,30.7,273.0,20.9
7,23.2,-6.235,106.773,2015-01-01T07:00:00+0000,1.498,1008.8,67.7,29.8,282.7,22.3
8,23.3,-6.235,106.773,2015-01-01T08:00:00+0000,0.691,1008.8,70.6,29.2,276.2,21.3
9,23.2,-6.235,106.773,2015-01-01T09:00:00+0000,0.284,1009.1,72.1,28.8,271.0,19.8
10,23.1,-6.235,106.773,2015-01-01T10:00:00+0000,0.119,1009.6,74.3,28.1,266.2,17.3
11,22.9,-6.235,106.773,2015-01-01T11:00:00+0000,0.0,1010.1,79.1,26.8,260.5,14.9
12,22.7,-6.235,106.773,2015-01-01T12:00:00+0000,0.0,1010.8,81.5,26.1,252.7,14.1
13,22.2,-6.235,106.773,2015-01-01T13:00:00+0000,0.0,1012.1,81.5,25.6,245.6,13.5
14,22.0,-6.235,106.773,2015-01-01T14:00:00+0000,0.0,1012.7,81.8,25.4,238.0,12.8
15,21.9,-6.235,106.773,2015-01-01T15:00:00+0000,0.0,1012.9,81.8,25.3,234.8,12.2
16,22.0,-6.235,106.773,2015-01-01T16:00:00+0000,0.0,1012.7,81.8,25.3,237.2,11.8
17,22.1,-6.235,106.773,2015-01-01T17:00:00+0000,0.054,1012.6,82.3,25.3,243.8,11.5
18,22.3,-6.235,106.773,2015-01-01T18:00:00+0000,0.421,1012.2,84.0,25.2,249.4,11.5
19,22.2,-6.235,106.773,2015-01-01T19:00:00+0000,0.745,1011.8,85.2,24.9,244.7,12.1
20,22.3,-6.235,106.773,2015-01-01T20:00:00+0000,0.594,1011.2,85.9,24.8,246.8,12.5
21,22.3,-6.235,106.773,2015-01-01T21:00:00+0000,0.529,1011.2,86.3,24.7,244.2,13.0
22,22.2,-6.235,106.773,2015-01-01T22:00:00+0000,0.45,1011.4,86.5,24.7,241.0,12.7
23,22.3,-6.235,106.773,2015-01-01T23:00:00+0000,0.364,1011.7,86.6,24.6,239.8,12.2
24,22.3,-6.235,106.773,2015-01-02T00:00:00+0000,0.342,1012.1,84.7,25.1,240.7,12.3
25,22.3,-6.235,106.773,2015-01-02T01:00:00+0000,0.284,1013.0,81.9,25.7,254.8,12.8
26,22.4,-6.235,106.773,2015-01-02T02:00:00+0000,0.234,1013.2,79.6,26.2,250.7,13.2
27,22.5,-6.235,106.773,2015-01-02T03:00:00+0000,0.302,1012.7,76.7,27.0,254.9,13.9
28,22.5,-6.235,106.773,2015-01-02T04:00:00+0000,0.014,1012.2,70.3,28.4,259.7,14.5
29,22.5,-6.235,106.773,2015-01-02T05:00:00+0000,0.173,1011.5,66.8,29.3,261.7,14.2
30,22.3,-6.235,106.773,2015-01-02T06:00:00+0000,0.072,1010.5,62.2,30.4,262.9,13.9
31,22.4,-6.235,106.773,2015-01-02T07:00:00+0000,0.184,1010.0,60.9,30.8,267.5,14.6
32,22.3,-6.235,106.773,2015-01-02T08:00:00+0000,0.09,1009.5,60.5,30.8,269.2,14.8
33,22.4,-6.235,106.773,2015-01-02T09:00:00+0000,0.126,1009.4,63.1,30.2,268.9,14.9
34,22.5,-6.235,106.773,2015-01-02T10:00:00+0000,0.032,1009.9,68.2,29.0,263.9,13.9
35,22.4,-6.235,106.773,2015-01-02T11:00:00+0000,0.0,1010.4,74.3,27.4,257.9,12.4
36,22.3,-6.235,106.773,2015-01-02T12:00:00+0000,0.0,1011.1,77.3,26.6,250.9,12.8
37,22.1,-6.235,106.773,2015-01-02T13:00:00+0000,0.065,1012.4,79.2,25.9,265.6,15.5
38,21.9,-6.235,106.773,2015-01-02T14:00:00+0000,0.086,1013.2,79.9,25.7,251.8,14.0
39,21.8,-6.235,106.773,2015-01-02T15:00:00+0000,0.065,1013.3,80.4,25.4,243.0,13.1
40,21.8,-6.235,106.773,2015-01-02T16:00:00+0000,0.043,1013.1,81.1,25.3,243.2,13.1
41,21.8,-6.235,106.773,2015-01-02T17:00:00+0000,0.029,1012.8,81.7,25.2,243.2,13.1
42,21.8,-6.235,106.773,2015-01-02T18:00:00+0000,0.014,1012.3,82.1,25.1,243.5,13.1
43,21.7,-6.235,106.773,2015-01-02T19:00:00+0000,0.0,1012.4,82.4,24.9,243.9,12.8
44,21.7,-6.235,106.773,2015-01-02T20:00:00+0000,0.0,1012.3,83.2,24.8,244.4,12.1
45,21.7,-6.235,106.773,2015-01-02T21:00:00+0000,0.0,1012.4,83.9,24.6,240.0,11.7
46,21.7,-6.235,106.773,2015-01-02T22:00:00+0000,0.0,1012.5,83.8,24.6,238.6,11.8
47,21.7,-6.235,106.773,2015-01-02T23:00:00+0000,0.0,1012.5,83.6,24.7,237.5,11.9
48,21.8,-6.235,106.773,2015-01-03T00:00:00+0000,0.0,1012.7,79.8,25.6,239.5,12.7
49,21.9,-6.235,106.773,2015-01-03T01:00:00+0000,0.227,1013.5,74.9,26.7,264.0,11.3
50,22.0,-6.235,106.773,2015-01-03T02:00:00+0000,0.342,1013.7,74.4,26.9,261.0,11.6
51,21.9,-6.235,106.773,2015-01-03T03:00:00+0000,0.274,1013.5,69.9,27.9,264.8,12.0
52,21.7,-6.235,106.773,2015-01-03T04:00:00+0000,0.166,1013.0,65.6,28.8,267.5,13.3
53,21.5,-6.235,106.773,2015-01-03T05:00:00+0000,0.144,1012.3,62.5,29.5,266.0,14.1
54,21.4,-6.235,106.773,2015-01-03T06:00:00+0000,0.101,1011.5,59.5,30.1,261.8,14.5
55,21.3,-6.235,106.773,2015-01-03T07:00:00+0000,0.151,1010.6,58.7,30.3,270.6,14.1
56,21.5,-6.235,106.773,2015-01-03T08:00:00+0000,0.209,1010.1,59.9,30.2,261.2,16.0
57,21.8,-6.235,106.773,2015-01-03T09:00:00+0000,0.212,1010.1,63.5,29.4,257.1,17.3
58,22.0,-6.235,106.773,2015-01-03T10:00:00+0000,0.162,1010.6,68.3,28.5,252.2,15.5
59,22.2,-6.235,106.773,2015-01-03T11:00:00+0000,0.112,1011.2,75.4,26.9,247.1,13.1
60,22.2,-6.235,106.773,2015-01-03T12:00:00+0000,0.0,1011.7,78.6,26.2,235.2,12.4
61,21.7,-6.235,106.773,2015-01-03T13:00:00+0000,0.0,1012.1,79.7,25.5,216.0,13.7
62,21.6,-6.235,106.773,2015-01-03T14:00:00+0000,0.0,1012.4,79.9,25.4,213.2,12.0
63,21.6,-6.235,106.773,2015-01-03T15:00:00+0000,0.0,1012.6,80.3,25.3,220.2,10.6
64,21.7,-6.235,106.773,2015-01-03T16:00:00+0000,0.0,1012.3,81.1,25.2,219.5,10.6
65,21.8,-6.235,106.773,2015-01-03T17:00:00+0000,0.0,1011.9,82.0,25.1,217.8,10.7
66,21.8,-6.235,106.773,2015-01-03T18:00:00+0000,0.0,1011.4,82.6,25.0,212.5,9.8
67,21.5,-6.235,106.773,2015-01-03T19:00:00+0000,0.0,1011.1,81.2,25.0,223.5,10.0
68,21.7,-6.235,106.773,2015-01-03T20:00:00+0000,0.108,1010.4,81.9,25.0,261.5,5.9
69,22.3,-6.235,106.773,2015-01-03T21:00:00+0000,2.603,1010.2,85.6,24.8,283.6,11.3
70,22.6,-6.235,106.773,2015-01-03T22:00:00+0000,3.236,1010.8,88.2,24.7,259.4,13.1
71,22.9,-6.235,106.773,2015-01-03T23:00:00+0000,3.575,1011.2,90.2,24.6,236.1,13.3
72,22.8,-6.235,106.773,2015-01-04T00:00:00+0000,0.932,1011.0,89.9,24.6,233.6,11.4
73,22.6,-6.235,106.773,2015-01-04T01:00:00+0000,0.029,1012.7,84.9,25.3,248.1,11.8
74,22.8,-6.235,106.773,2015-01-04T02:00:00+0000,0.0,1012.1,78.5,26.9,239.3,11.3
75,22.8,-6.235,106.773,2015-01-04T03:00:00+0000,0.025,1011.5,69.1,29.1,250.5,12.0
76,22.7,-6.235,106.773,2015-01-04T04:00:00+0000,0.004,1010.9,68.0,29.3,259.8,13.1
77,22.8,-6.235,106.773,2015-01-04T05:00:00+0000,0.068,1010.5,70.9,28.6,266.1,13.2
78,23.2,-6.235,106.773,2015-01-04T06:00:00+0000,0.803,1010.4,82.3,26.5,268.1,11.7
79,23.1,-6.235,106.773,2015-01-04T07:00:00+0000,0.853,1010.2,87.8,25.3,265.9,13.5
80,23.2,-6.235,106.773,2015-01-04T08:00:00+0000,0.126,1009.8,86.5,25.6,259.4,12.9
81,23.2,-6.235,106.773,2015-01-04T09:00:00+0000,0.079,1009.4,77.9,27.4,256.4,15.7
82,23.0,-6.235,106.773,2015-01-04T10:00:00+0000,0.007,1009.6,80.5,26.7,252.3,14.8
83,22.7,-6.235,106.773,2015-01-04T11:00:00+0000,0.0,1009.8,83.9,25.7,247.0,13.6
84,22.4,-6.235,106.773,2015-01-04T12:00:00+0000,0.0,1010.4,85.0,25.1,242.4,13.7
85,21.9,-6.235,106.773,2015-01-04T13:00:00+0000,0.0,1011.6,84.8,24.7,238.3,12.7
86,21.8,-6.235,106.773,2015-01-04T14:00:00+0000,0.0,1011.8,85.4,24.4,227.0,12.3
87,21.7,-6.235,106.773,2015-01-04T15:00:00+0000,0.0,1012.3,85.5,24.3,220.1,11.5
88,21.6,-6.235,106.773,2015-01-04T16:00:00+0000,0.0,1011.9,84.6,24.4,219.3,11.4
89,21.5,-6.235,106.773,2015-01-04T17:00:00+0000,0.0,1011.5,84.2,24.4,219.2,11.3
90,21.5,-6.235,106.773,2015-01-04T18:00:00+0000,0.0,1011.2,83.9,24.4,220.1,10.8
91,21.5,-6.235,106.773,2015-01-04T19:00:00+0000,0.011,1010.9,84.0,24.3,238.9,8.7
92,21.5,-6.235,106.773,2015-01-04T20:00:00+0000,0.018,1010.7,84.5,24.3,229.1,9.3
93,21.5,-6.235,106.773,2015-01-04T21:00:00+0000,0.025,1010.7,84.6,24.3,222.9,9.7
94,21.6,-6.235,106.773,2015-01-04T22:00:00+0000,0.018,1011.1,84.8,24.3,227.0,9.7
95,21.6,-6.235,106.773,2015-01-04T23:00:00+0000,0.018,1011.4,85.3,24.3,232.8,9.8
96,21.9,-6.235,106.773,2015-01-05T00:00:00+0000,0.0,1011.8,84.6,24.6,241.7,9.6
97,21.9,-6.235,106.773,2015-01-05T01:00:00+0000,0.0,1011.9,81.0,25.4,255.5,12.3
98,22.0,-6.235,106.773,2015-01-05T02:00:00+0000,0.0,1011.9,73.1,27.3,258.8,12.4
99,21.9,-6.235,106.773,2015-01-05T03:00:00+0000,0.0,1011.4,64.2,29.3,265.3,12.0
100,21.5,-6.235,106.773,2015-01-05T04:00:00+0000,0.0,1010.8,57.9,30.7,268.2,12.9
101,21.2,-6.235,106.773,2015-01-05T05:00:00+0000,0.0,1010.2,54.5,31.5,269.4,13.8
102,21.1,-6.235,106.773,2015-01-05T06:00:00+0000,0.0,1009.7,52.9,31.9,267.1,15.0
103,20.6,-6.235,106.773,2015-01-05T07:00:00+0000,0.0,1008.8,51.5,31.9,272.0,16.9
104,20.7,-6.235,106.773,2015-01-05T08:00:00+0000,0.0,1008.4,52.3,31.7,265.3,17.6
105,20.9,-6.235,106.773,2015-01-05T09:00:00+0000,0.0,1008.4,54.6,31.1,262.5,17.4
106,21.2,-6.235,106.773,2015-01-05T10:00:00+0000,0.0,1009.0,59.9,29.8,260.5,16.6
107,21.3,-6.235,106.773,2015-01-05T11:00:00+0000,0.0,1009.7,67.6,27.9,258.2,15.1
108,21.3,-6.235,106.773,2015-01-05T12:00:00+0000,0.0,1010.7,72.1,26.7,250.9,14.9
109,21.5,-6.235,106.773,2015-01-05T13:00:00+0000,0.0,1011.6,75.4,26.1,246.9,14.0
110,21.3,-6.235,106.773,2015-01-05T14:00:00+0000,0.0,1011.7,77.0,25.7,237.7,14.0
111,21.2,-6.235,106.773,2015-01-05T15:00:00+0000,0.0,1011.7,78.2,25.3,233.4,12.8
112,21.2,-6.235,106.773,2015-01-05T16:00:00+0000,0.0,1011.5,78.8,25.2,230.9,12.7
113,21.2,-6.235,106.773,2015-01-05T17:00:00+0000,0.0,1011.3,79.0,25.1,228.5,12.5
114,21.2,-6.235,106.773,2015-01-05T18:00:00+0000,0.0,1011.0,79.1,25.1,226.5,12.4
115,21.0,-6.235,106.773,2015-01-05T19:00:00+0000,0.0,1010.6,79.1,24.9,222.3,11.7
116,21.0,-6.235,106.773,2015-01-05T20:00:00+0000,0.0,1010.4,79.8,24.7,219.9,11.6
117,20.9,-6.235,106.773,2015-01-05T21:00:00+0000,0.0,1010.2,80.8,24.4,217.2,11.4
118,20.8,-6.235,106.773,2015-01-05T22:00:00+0000,0.0,1010.3,81.7,24.2,214.8,11.2
119,20.8,-6.235,106.773,2015-01-05T23:00:00+0000,0.0,1010.6,82.6,23.9,212.3,11.2
120,20.9,-6.235,106.773,2015-01-06T00:00:00+0000,0.0,1010.9,77.5,25.1,212.4,11.6
121,20.9,-6.235,106.773,2015-01-06T01:00:00+0000,0.0,1011.5,68.5,27.2,231.3,13.7
122,20.7,-6.235,106.773,2015-01-06T02:00:00+0000,0.0,1011.5,59.9,29.3,234.8,13.8
123,20.7,-6.235,106.773,2015-01-06T03:00:00+0000,0.0,1011.1,54.6,30.9,245.7,14.1
124,20.9,-6.235,106.773,2015-01-06T04:00:00+0000,0.029,1010.5,52.4,31.9,259.6,16.0
125,21.1,-6.235,106.773,2015-01-06T05:00:00+0000,0.151,1009.9,52.1,32.2,266.6,18.4
126,21.3,-6.235,106.773,2015-01-06T06:00:00+0000,0.166,1009.3,55.8,31.2,268.3,17.7
127,20.6,-6.235,106.773,2015-01-06T07:00:00+0000,0.076,1008.4,50.4,32.3,271.3,18.5
128,20.6,-6.235,106.773,2015-01-06T08:00:00+0000,0.061,1008.2,51.7,31.8,268.3,19.2
129,20.7,-6.235,106.773,2015-01-06T09:00:00+0000,0.004,1008.3,54.1,31.1,264.6,17.3
130,20.9,-6.235,106.773,2015-01-06T10:00:00+0000,0.004,1008.8,57.1,30.4,258.6,15.3
131,21.2,-6.235,106.773,2015-01-06T11:00:00+0000,0.0,1009.4,64.7,28.5,252.7,12.3
132,21.1,-6.235,106.773,2015-01-06T12:00:00+0000,0.007,1010.0,69.1,27.3,241.3,13.0
133,21.0,-6.235,106.773,2015-01-06T13:00:00+0000,0.0,1010.5,72.1,26.4,235.8,13.4
134,21.0,-6.235,106.773,2015-01-06T14:00:00+0000,0.0,1010.8,74.3,25.9,231.0,13.6
135,21.1,-6.235,106.773,2015-01-06T15:00:00+0000,0.0,1011.2,75.9,25.6,230.6,13.6
136,21.2,-6.235,106.773,2015-01-06T16:00:00+0000,0.0,1011.3,77.5,25.4,226.6,13.8
137,21.3,-6.235,106.773,2015-01-06T17:00:00+0000,0.0,1011.2,79.1,25.1,222.2,13.8
138,21.3,-6.235,106.773,2015-01-06T18:00:00+0000,0.0,1010.8,80.5,24.9,219.0,13.2
139,21.3,-6.235,106.773,2015-01-06T19:00:00+0000,0.0,1010.0,81.7,24.6,213.5,12.1
140,21.3,-6.235,106.773,2015-01-06T20:00:00+0000,0.0,1009.5,82.9,24.4,209.3,11.6
141,21.3,-6.235,106.773,2015-01-06T21:00:00+0000,0.0,1009.4,84.0,24.2,205.1,11.3
142,21.4,-6.235,106.773,2015-01-06T22:00:00+0000,0.0,1009.9,84.4,24.1,201.2,11.5
143,21.4,-6.235,106.773,2015-01-06T23:00:00+0000,0.0,1010.4,84.5,24.1,198.7,11.7
144,21.5,-6.235,106.773,2015-01-07T00:00:00+0000,0.0,1010.8,78.6,25.5,199.8,12.3
145,21.6,-6.235,106.773,2015-01-07T01:00:00+0000,0.0,1011.2,71.1,27.3,226.4,10.8
146,21.6,-6.235,106.773,2015-01-07T02:00:00+0000,0.0,1010.9,61.7,29.7,243.7,11.3
147,21.2,-6.235,106.773,2015-01-07T03:00:00+0000,0.0,1010.5,56.4,30.9,259.9,13.8
148,21.2,-6.235,106.773,2015-01-07T04:00:00+0000,0.173,1010.6,53.9,31.7,266.7,16.0
149,21.2,-6.235,106.773,2015-01-07T05:00:00+0000,0.277,1010.4,52.6,32.2,270.5,17.4
