,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,22.4,-6.235,106.773,2021-01-01T00:00:00+0000,0.014,1011.3,81.7,25.8,246.5,7.9
1,22.3,-6.235,106.773,2021-01-01T01:00:00+0000,0.0,1011.7,73.1,27.6,244.3,8.5
2,21.8,-6.235,106.773,2021-01-01T02:00:00+0000,0.0,1011.9,64.6,29.1,256.8,9.2
3,21.3,-6.235,106.773,2021-01-01T03:00:00+0000,0.0,1011.1,57.6,30.7,269.5,11.4
4,21.1,-6.235,106.773,2021-01-01T04:00:00+0000,0.043,1010.5,55.0,31.2,274.0,13.9
5,21.1,-6.235,106.773,2021-01-01T05:00:00+0000,0.155,1009.9,53.3,31.8,275.8,15.6
6,21.2,-6.235,106.773,2021-01-01T06:00:00+0000,0.212,1009.4,53.4,31.9,273.1,16.8
7,21.3,-6.235,106.773,2021-01-01T07:00:00+0000,0.371,1009.3,54.9,31.5,274.5,17.9
8,21.4,-6.235,106.773,2021-01-01T08:00:00+0000,0.407,1009.0,56.7,31.1,266.7,15.9
9,21.6,-6.235,106.773,2021-01-01T09:00:00+0000,0.562,1008.9,59.2,30.4,258.7,14.0
10,21.7,-6.235,106.773,2021-01-01T10:00:00+0000,0.245,1009.3,63.2,29.4,251.8,12.7
11,21.9,-6.235,106.773,2021-01-01T11:00:00+0000,0.054,1009.8,70.5,27.8,243.9,10.0
12,21.9,-6.235,106.773,2021-01-01T12:00:00+0000,0.004,1010.3,74.1,27.0,232.4,10.3
13,21.7,-6.235,106.773,2021-01-01T13:00:00+0000,0.0,1011.0,75.5,26.4,228.2,11.4
14,21.6,-6.235,106.773,2021-01-01T14:00:00+0000,0.0,1011.1,76.7,26.0,225.0,12.4
15,21.5,-6.235,106.773,2021-01-01T15:00:00+0000,0.0,1011.2,77.7,25.7,228.6,12.5
16,21.5,-6.235,106.773,2021-01-01T16:00:00+0000,0.0,1011.0,78.9,25.5,224.5,11.3
17,21.5,-6.235,106.773,2021-01-01T17:00:00+0000,0.0,1010.8,80.3,25.2,213.5,10.1
18,21.5,-6.235,106.773,2021-01-01T18:00:00+0000,0.0,1010.6,81.6,24.8,198.2,9.6
19,21.2,-6.235,106.773,2021-01-01T19:00:00+0000,0.0,1010.4,81.3,24.7,197.9,10.5
20,21.2,-6.235,106.773,2021-01-01T20:00:00+0000,0.0,1009.8,82.3,24.4,200.4,10.0
21,21.2,-6.235,106.773,2021-01-01T21:00:00+0000,0.0,1009.7,83.5,24.2,204.3,9.2
22,21.2,-6.235,106.773,2021-01-01T22:00:00+0000,0.0,1010.3,84.7,24.0,199.1,8.6
23,21.3,-6.235,106.773,2021-01-01T23:00:00+0000,0.0,1010.9,85.5,23.9,193.7,8.1
24,21.5,-6.235,106.773,2021-01-02T00:00:00+0000,0.0,1011.5,79.4,25.3,191.3,7.3
25,21.7,-6.235,106.773,2021-01-02T01:00:00+0000,0.0,1011.9,68.7,28.1,292.5,6.7
26,21.7,-6.235,106.773,2021-01-02T02:00:00+0000,0.0,1012.2,61.6,29.8,305.5,9.3
27,21.6,-6.235,106.773,2021-01-02T03:00:00+0000,0.0,1011.8,57.6,31.0,311.7,10.6
28,21.7,-6.235,106.773,2021-01-02T04:00:00+0000,0.533,1011.1,56.6,31.4,318.9,10.4
29,21.8,-6.235,106.773,2021-01-02T05:00:00+0000,0.655,1010.4,55.8,31.8,326.1,9.9
30,22.0,-6.235,106.773,2021-01-02T06:00:00+0000,1.08,1009.8,56.0,31.9,329.9,8.4
31,22.1,-6.235,106.773,2021-01-02T07:00:00+0000,0.792,1009.4,56.4,31.9,335.2,5.3
32,22.2,-6.235,106.773,2021-01-02T08:00:00+0000,0.54,1009.0,57.6,31.7,325.6,4.1
33,22.3,-6.235,106.773,2021-01-02T09:00:00+0000,0.407,1008.9,61.0,30.6,310.5,4.5
34,22.4,-6.235,106.773,2021-01-02T10:00:00+0000,0.709,1009.1,65.6,29.6,306.4,5.6
35,22.9,-6.235,106.773,2021-01-02T11:00:00+0000,0.594,1009.6,73.6,28.1,312.9,5.6
36,22.9,-6.235,106.773,2021-01-02T12:00:00+0000,0.22,1010.2,77.6,27.2,306.9,6.7
37,22.8,-6.235,106.773,2021-01-02T13:00:00+0000,0.0,1011.0,78.2,26.9,282.0,8.1
38,22.8,-6.235,106.773,2021-01-02T14:00:00+0000,0.0,1011.5,79.3,26.6,263.2,7.6
39,22.7,-6.235,106.773,2021-01-02T15:00:00+0000,0.0,1011.7,80.9,26.2,236.9,7.8
