,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,18.3,-6.235,106.773,2014-10-01T01:00:00+0000,0.0,1014.1,50.6,29.6,103.6,7.4
1,18.1,-6.235,106.773,2014-10-01T02:00:00+0000,0.0,1014.3,44.9,31.5,86.2,11.5
2,18.1,-6.235,106.773,2014-10-01T03:00:00+0000,0.0,1013.9,41.6,32.9,79.6,13.8
3,18.1,-6.235,106.773,2014-10-01T04:00:00+0000,0.0,1013.1,39.6,33.7,73.7,13.5
4,18.1,-6.235,106.773,2014-10-01T05:00:00+0000,0.0,1012.3,38.8,34.1,71.0,13.1
5,18.2,-6.235,106.773,2014-10-01T06:00:00+0000,0.0,1011.7,40.7,33.4,73.1,11.9
6,17.4,-6.235,106.773,2014-10-01T07:00:00+0000,0.0,1011.3,40.0,32.9,36.6,8.5
7,17.9,-6.235,106.773,2014-10-01T08:00:00+0000,0.0,1011.2,42.4,32.3,42.1,7.1
8,18.4,-6.235,106.773,2014-10-01T09:00:00+0000,0.0,1010.9,45.7,31.5,48.2,6.0
9,18.6,-6.235,106.773,2014-10-01T10:00:00+0000,0.0,1011.1,47.8,31.0,61.4,5.4
10,19.6,-6.235,106.773,2014-10-01T11:00:00+0000,0.0,1011.3,63.1,27.2,72.3,2.8
11,20.0,-6.235,106.773,2014-10-01T12:00:00+0000,0.0,1011.7,68.5,26.3,101.0,2.3
12,20.2,-6.235,106.773,2014-10-01T13:00:00+0000,0.0,1012.5,71.9,25.7,108.1,2.1
13,19.9,-6.235,106.773,2014-10-01T14:00:00+0000,0.0,1013.0,71.9,25.4,155.9,3.4
14,19.7,-6.235,106.773,2014-10-01T15:00:00+0000,0.0,1013.1,66.2,26.5,170.2,5.5
15,19.6,-6.235,106.773,2014-10-01T16:00:00+0000,0.0,1013.2,63.3,27.2,173.2,6.4
16,19.6,-6.235,106.773,2014-10-01T17:00:00+0000,0.0,1013.2,63.7,27.1,174.6,6.9
17,19.6,-6.235,106.773,2014-10-01T18:00:00+0000,0.043,1013.0,64.7,26.9,178.5,6.8
18,19.6,-6.235,106.773,2014-10-01T19:00:00+0000,0.025,1013.2,65.0,26.7,184.0,7.3
19,19.6,-6.235,106.773,2014-10-01T20:00:00+0000,0.032,1013.2,66.3,26.4,187.6,7.7
20,19.7,-6.235,106.773,2014-10-01T21:00:00+0000,0.094,1013.1,67.9,26.1,190.6,8.4
21,19.8,-6.235,106.773,2014-10-01T22:00:00+0000,0.108,1013.4,69.2,25.9,188.7,8.8
22,19.9,-6.235,106.773,2014-10-01T23:00:00+0000,0.119,1013.7,70.5,25.6,186.9,9.0
23,19.9,-6.235,106.773,2014-10-02T00:00:00+0000,0.097,1014.2,71.3,25.5,184.6,9.1
24,20.6,-6.235,106.773,2014-10-02T01:00:00+0000,0.094,1013.8,71.1,26.3,156.0,6.0
25,20.3,-6.235,106.773,2014-10-02T02:00:00+0000,0.0,1014.0,59.6,29.0,134.2,5.5
26,19.5,-6.235,106.773,2014-10-02T03:00:00+0000,0.004,1013.6,42.8,34.0,95.3,4.3
27,18.4,-6.235,106.773,2014-10-02T04:00:00+0000,0.004,1012.7,36.7,35.5,20.0,5.5
28,17.8,-6.235,106.773,2014-10-02T05:00:00+0000,0.0,1011.8,35.8,35.2,358.0,9.4
29,17.9,-6.235,106.773,2014-10-02T06:00:00+0000,0.0,1011.0,36.1,35.2,348.9,12.6
30,18.3,-6.235,106.773,2014-10-02T07:00:00+0000,0.0,1010.1,37.6,34.9,357.7,14.6
31,18.8,-6.235,106.773,2014-10-02T08:00:00+0000,0.0,1010.0,40.7,34.0,358.0,12.4
32,19.1,-6.235,106.773,2014-10-02T09:00:00+0000,0.0,1009.8,44.6,32.8,358.6,10.6
33,19.5,-6.235,106.773,2014-10-02T10:00:00+0000,0.0,1010.0,49.8,31.3,357.4,10.3
