,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,23.1,-6.235,106.773,2020-01-01T00:00:00+0000,0.868,1013.2,89.1,25.1,265.4,10.4
1,23.1,-6.235,106.773,2020-01-01T01:00:00+0000,1.134,1014.6,89.0,25.1,292.2,11.4
2,23.3,-6.235,106.773,2020-01-01T02:00:00+0000,1.156,1015.1,88.1,25.4,285.2,11.2
3,23.3,-6.235,106.773,2020-01-01T03:00:00+0000,0.94,1015.1,87.0,25.7,290.0,12.3
4,23.2,-6.235,106.773,2020-01-01T04:00:00+0000,0.486,1014.6,84.9,26.0,292.1,14.2
5,23.1,-6.235,106.773,2020-01-01T05:00:00+0000,0.227,1014.4,82.3,26.4,296.3,14.6
6,23.0,-6.235,106.773,2020-01-01T06:00:00+0000,0.14,1013.9,79.7,26.8,299.0,14.3
7,22.6,-6.235,106.773,2020-01-01T07:00:00+0000,0.014,1012.8,73.9,27.7,303.8,12.2
8,22.4,-6.235,106.773,2020-01-01T08:00:00+0000,0.072,1013.0,73.1,27.6,299.3,10.5
9,22.3,-6.235,106.773,2020-01-01T09:00:00+0000,0.054,1012.8,75.8,27.0,299.5,7.5
10,22.4,-6.235,106.773,2020-01-01T10:00:00+0000,0.018,1013.2,77.8,26.6,299.6,6.7
11,22.2,-6.235,106.773,2020-01-01T11:00:00+0000,0.022,1013.5,81.7,25.5,296.4,6.6
12,21.9,-6.235,106.773,2020-01-01T12:00:00+0000,0.0,1014.1,82.4,25.1,292.5,6.4
13,22.5,-6.235,106.773,2020-01-01T13:00:00+0000,0.029,1014.5,85.8,25.1,220.1,3.3
14,22.4,-6.235,106.773,2020-01-01T14:00:00+0000,0.043,1015.1,85.7,25.0,219.8,3.1
15,22.4,-6.235,106.773,2020-01-01T15:00:00+0000,0.058,1015.9,85.7,25.0,230.8,2.8
16,22.2,-6.235,106.773,2020-01-01T16:00:00+0000,0.014,1016.0,85.3,24.8,258.8,3.2
17,21.9,-6.235,106.773,2020-01-01T17:00:00+0000,0.0,1015.7,84.3,24.7,271.4,4.6
18,21.7,-6.235,106.773,2020-01-01T18:00:00+0000,0.007,1015.1,84.2,24.6,272.7,6.2
19,21.6,-6.235,106.773,2020-01-01T19:00:00+0000,0.0,1014.2,84.7,24.4,265.5,6.9
20,21.6,-6.235,106.773,2020-01-01T20:00:00+0000,0.0,1013.8,85.2,24.3,265.2,7.3
21,21.7,-6.235,106.773,2020-01-01T21:00:00+0000,0.0,1013.9,85.5,24.3,268.1,7.5
22,21.8,-6.235,106.773,2020-01-01T22:00:00+0000,0.0,1014.3,85.4,24.4,265.9,7.6
23,21.9,-6.235,106.773,2020-01-01T23:00:00+0000,0.0,1014.5,85.4,24.5,262.3,7.3
24,22.3,-6.235,106.773,2020-01-02T00:00:00+0000,0.0,1015.2,81.5,25.7,266.7,7.0
